Type,Category,Class,Generic,Brand
Prescription,Blood Pressure,Antihypertensives,Lisinopril,Zestril
Prescription,Blood Pressure,Antihypertensives,Lisinopril,Prinivil
Prescription,Blood Pressure,Antihypertensives,Lisinopril,Qbrelis
Prescription,Blood Pressure,Antihypertensives,Amlodipine,Norvasc
Prescription,Blood Pressure,Antihypertensives,Metoprolol (Tartrate & Succinate),Lopressor
Prescription,Blood Pressure,Antihypertensives,Metoprolol (Tartrate & Succinate),Toprol-XL
Prescription,Blood Pressure,Antihypertensives,Metoprolol (Tartrate & Succinate),Kapspargo Sprinkle
Prescription,Blood Pressure,Antihypertensives,Losartan,Cozaar
Prescription,Blood Pressure,Antihypertensives,Carvedilol,Coreg
Prescription,Blood Pressure,Antihypertensives,Carvedilol,Coreg CR
Prescription,Blood Pressure,Antihypertensives,Valsartan,Diovan
Prescription,Blood Pressure,Antihypertensives,Hydrochlorothiazide,Microzide
Prescription,Blood Pressure,Antihypertensives,Hydrochlorothiazide,HydroDIURIL
Prescription,Blood Pressure,Antihypertensives,Losartan + Hydrochlorothiazide,Hyzaar
Prescription,Blood Pressure,Antihypertensives,Enalapril,Vasotec
Prescription,Blood Pressure,Antihypertensives,Enalapril,Epaned
Prescription,Blood Pressure,Antihypertensives,Propranolol,Inderal LA
Prescription,Blood Pressure,Antihypertensives,Propranolol,Innopran XL
Prescription,Blood Pressure,Antihypertensives,Propranolol,Hemangeol
Prescription,Blood Pressure,Antihypertensives,Atenolol,Tenormin
Prescription,Blood Pressure,Antihypertensives,Metoprolol Succinate,Toprol-XL
Prescription,Blood Pressure,Antihypertensives,Metoprolol Succinate,Kapspargo Sprinkle
Prescription,Blood Pressure,Antihypertensives,Metoprolol Tartrate,Lopressor
Prescription,Blood Pressure,Antihypertensives,Clonidine,Catapres
Prescription,Blood Pressure,Antihypertensives,Clonidine,Kapvay
Prescription,Blood Pressure,Antihypertensives,Spironolactone,Aldactone
Prescription,Blood Pressure,Antihypertensives,Spironolactone,CaroSpir
Prescription,Blood Pressure,Antihypertensives,Hydralazine,Apresoline
Prescription,Blood Pressure,Antihypertensives,Chlorthalidone,Thalitone
Prescription,Blood Pressure,Antihypertensives,Doxazosin,Cardura
Prescription,Blood Pressure,Antihypertensives,Doxazosin,Cardura XL
Prescription,Blood Pressure,Antihypertensives,Furosemide,Lasix
Prescription,Blood Pressure,Antihypertensives,Olmesartan,Benicar
Prescription,Blood Pressure,Antihypertensives,Nifedipine,Procardia
Prescription,Blood Pressure,Antihypertensives,Nifedipine,Adalat CC
Prescription,Blood Pressure,Antihypertensives,Nifedipine,Procardia XL
Prescription,Blood Pressure,Antihypertensives,Diltiazem,Cardizem
Prescription,Blood Pressure,Antihypertensives,Diltiazem,Cardizem CD
Prescription,Blood Pressure,Antihypertensives,Diltiazem,Cardizem LA
Prescription,Blood Pressure,Antihypertensives,Diltiazem,Tiazac
Prescription,Blood Pressure,Antihypertensives,Diltiazem,Cartia XT
Prescription,Blood Pressure,Antihypertensives,Diltiazem,Dilacor XR
Prescription,Blood Pressure,Antihypertensives,Irbesartan,Avapro
Prescription,Blood Pressure,Antihypertensives,Ramipril,Altace
Prescription,Blood Pressure,Antihypertensives,Benazepril,Lotensin
